name,url
Bactrosaurus,https://en.wikipedia.org/wiki/Bactrosaurus
Bagaceratops,https://en.wikipedia.org/wiki/Bagaceratops
Bagaraatan,https://en.wikipedia.org/wiki/Bagaraatan
Bagualia,https://en.wikipedia.org/wiki/Bagualia
Bagualosaurus,https://en.wikipedia.org/wiki/Bagualosaurus
Bahariasaurus,https://en.wikipedia.org/wiki/Bahariasaurus
Bainoceratops,https://en.wikipedia.org/wiki/Bainoceratops
Bajadasaurus,https://en.wikipedia.org/wiki/Bajadasaurus
Balaur bondoc,https://en.wikipedia.org/wiki/Balaur_bondoc
Bambiraptor,https://en.wikipedia.org/wiki/Bambiraptor
Banji,https://en.wikipedia.org/wiki/Banji
Bannykus,https://en.wikipedia.org/wiki/Bannykus
Baotianmansaurus,https://en.wikipedia.org/wiki/Baotianmansaurus
Barapasaurus,https://en.wikipedia.org/wiki/Barapasaurus
Barilium,https://en.wikipedia.org/wiki/Barilium
Barosaurus,https://en.wikipedia.org/wiki/Barosaurus
Barrosasaurus,https://en.wikipedia.org/wiki/Barrosasaurus
Barsboldia,https://en.wikipedia.org/wiki/Barsboldia
Baryonyx,https://en.wikipedia.org/wiki/Baryonyx
Bashanosaurus,https://en.wikipedia.org/wiki/Bashanosaurus
Basutodon,https://en.wikipedia.org/wiki/Basutodon
Batyrosaurus,https://en.wikipedia.org/wiki/Batyrosaurus
Baurutitan,https://en.wikipedia.org/wiki/Baurutitan
Bayannurosaurus,https://en.wikipedia.org/wiki/Bayannurosaurus
Beg tse,https://en.wikipedia.org/wiki/Beg_tse
Beibeilong,https://en.wikipedia.org/wiki/Beibeilong
Beipiaognathus,https://en.wikipedia.org/wiki/Beipiaognathus
Beipiaosaurus,https://en.wikipedia.org/wiki/Beipiaosaurus
Beishanlong,https://en.wikipedia.org/wiki/Beishanlong
Bellusaurus,https://en.wikipedia.org/wiki/Bellusaurus
Belodon,https://en.wikipedia.org/wiki/Belodon
Berberosaurus,https://en.wikipedia.org/wiki/Berberosaurus
Berthasaura,https://en.wikipedia.org/wiki/Berthasaura
Betasuchus,https://en.wikipedia.org/wiki/Betasuchus
Bicentenaria,https://en.wikipedia.org/wiki/Bicentenaria
Bienosaurus,https://en.wikipedia.org/wiki/Bienosaurus
Bissektipelta,https://en.wikipedia.org/wiki/Bissektipelta
Bistahieversor,https://en.wikipedia.org/wiki/Bistahieversor
Bisticeratops,https://en.wikipedia.org/wiki/Bisticeratops
Blasisaurus,https://en.wikipedia.org/wiki/Blasisaurus
Blikanasaurus,https://en.wikipedia.org/wiki/Blikanasaurus
Bolong,https://en.wikipedia.org/wiki/Bolong
Bonapartenykus,https://en.wikipedia.org/wiki/Bonapartenykus
Bonapartesaurus,https://en.wikipedia.org/wiki/Bonapartesaurus
Bonatitan,https://en.wikipedia.org/wiki/Bonatitan
Bonitasaura,https://en.wikipedia.org/wiki/Bonitasaura
Borealopelta,https://en.wikipedia.org/wiki/Borealopelta
Borealosaurus,https://en.wikipedia.org/wiki/Borealosaurus
Boreonykus,https://en.wikipedia.org/wiki/Boreonykus
Borogovia,https://en.wikipedia.org/wiki/Borogovia
Bothriospondylus,https://en.wikipedia.org/wiki/Bothriospondylus
Brachiosaurus,https://en.wikipedia.org/wiki/Brachiosaurus
Brachyceratops,https://en.wikipedia.org/wiki/Brachyceratops
